contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
326.802114,411.7104806,246.3333333,428.184852,7.021017157,7.828219915,5.785906863,8.393971549,0.623222834,0.608807065,0.634807881,0.605453251,0.565700778,0.562501253,0.566970346,0.563023223,0.972786453,0.965781711,0.97948727,0.964412485,dress
285.6265012,360.970396,89.76295956,300.7742253,4.073958333,4.72922722,2.026194853,4.265836217,0.838285365,0.831045682,0.873120343,0.834284906,0.806637381,0.805520402,0.814390328,0.806394791,0.956316784,0.944973904,0.98627181,0.95415017,dress
537.3342984,584.456163,252.3178309,667.2725106,9.472564338,9.838123799,5.189246324,10.11606305,0.60148164,0.59931388,0.644718291,0.597604614,0.55963499,0.559522512,0.563599765,0.558907152,0.957492898,0.953839865,0.980032575,0.947299067,dress
242.5360907,290.6397232,111.3998775,324.1408381,4.031495098,4.568888889,2.538480392,4.860038447,0.829471068,0.828053805,0.849454837,0.824833485,0.814092286,0.813284976,0.818114959,0.812992363,0.962733755,0.955489012,0.982883145,0.950358372,dress
266.1559743,341.1677355,133.4729167,370.5573856,3.777941176,4.529734717,2.522273284,4.759861592,0.856050187,0.848757121,0.870606431,0.848712171,0.834900964,0.833747746,0.840036125,0.833609625,0.954130161,0.941373252,0.976986306,0.936322893,dress
469.4742953,593.0205152,178.7287531,553.9790081,6.244178922,7.165905421,2.836688113,6.881399462,0.789783409,0.784738809,0.835424076,0.783681071,0.760163885,0.75940079,0.764922848,0.759432783,0.942802502,0.927966128,0.978223165,0.932708478,dress
615.138848,692.4153018,310.1298866,732.8622684,7.093780637,7.458254517,4.221583946,7.693087274,0.758647345,0.756873446,0.808637038,0.755048108,0.716145018,0.716506144,0.720966417,0.71633786,0.934743938,0.926637321,0.967046705,0.92235189,dress
504.5375306,598.653441,298.9567402,600.1343176,7.121691176,7.968012303,5.171783088,7.998185313,0.800699961,0.798549125,0.819942949,0.798823673,0.790748952,0.790905486,0.800392091,0.790812968,0.927030888,0.913660886,0.956745801,0.913447311,dress
413.9768382,450.6999308,113.3443781,485.3359938,6.027757353,6.367750865,2.35479473,6.571610919,0.779886846,0.77698361,0.837540472,0.777235608,0.759445654,0.758851228,0.765924694,0.758714076,0.94583258,0.941178143,0.985162681,0.936657713,dress
531.3564032,755.8027374,318.1190104,623.8744022,7.767647059,9.37905421,5.073391544,8.241522491,0.720474163,0.71230281,0.758922554,0.714509137,0.687577137,0.685201285,0.689824735,0.685078906,0.945889794,0.923242744,0.967605116,0.936641024,dress
213.5002604,286.6178393,162.3144148,341.2780008,4.284175858,4.913971549,3.581663603,5.378915802,0.811794108,0.807807164,0.821344021,0.80437997,0.788855262,0.78688862,0.789132272,0.785642996,0.970944323,0.961117294,0.977910307,0.953702116,dress
615.5624081,753.26213,438.7283088,850.5770396,11.18866422,12.61680892,9.185998775,13.43326413,0.578336976,0.570391817,0.592989803,0.570445453,0.548246104,0.545432485,0.553026345,0.545353788,0.950064948,0.939008485,0.964410124,0.931128913,dress
352.6582108,408.5677662,141.6029871,448.0124414,4.817922794,5.272172241,2.38638174,5.450811226,0.833077438,0.830550823,0.872583496,0.830602304,0.818584718,0.817458624,0.82329866,0.817397231,0.945629801,0.937168399,0.978151041,0.931102399,dress
396.7726409,497.7584929,267.6024203,532.6766628,6.988541667,7.874171473,5.487316176,8.231695502,0.735077897,0.728472459,0.745943474,0.728467551,0.704398689,0.703310197,0.706660014,0.703309067,0.95932309,0.949113665,0.972565839,0.945543947,dress
398.3462316,508.4602537,236.4700674,449.2692042,7.7015625,8.812118416,5.157414216,8.164183007,0.665613172,0.662980919,0.707678867,0.663492089,0.625440348,0.625581539,0.629793099,0.625736945,0.96163639,0.951103077,0.977207744,0.956795283,dress
276.4287377,323.215917,117.8702665,289.8881507,5.045373775,5.431526336,3.22958027,5.195678585,0.798627939,0.797535399,0.81818878,0.798257098,0.784514621,0.784571254,0.791299224,0.785001253,0.957991862,0.95098731,0.982070959,0.956041156,dress
