contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,red,green,blue,hue,saturation,value,label
514.3839668,644.0013174,528.6695817,640.199195,5.637697224,7.01241953,5.860108855,6.96917521,0.885563893,0.869632846,0.881849844,0.869997448,0.737639576,0.730809487,0.734322784,0.730992881,0.522288451,0.403006202,0.5105073,0.406530796,35.7636795,35.7716217,35.75771713,17.60032654,8.807857513,37.50506592,jahe
800.2880076,965.5545743,772.9290148,968.1966751,8.905248593,10.55855331,8.560978779,10.60361288,0.817168693,0.799255746,0.821675781,0.799118508,0.610084911,0.602701996,0.612851099,0.602725928,0.504829537,0.402677941,0.521003287,0.401043456,55.35350037,55.36301804,55.36013794,27.33911514,16.5591011,58.85001755,jahe
825.4674581,968.3133069,790.0678013,994.2708208,9.002897199,10.41766461,8.541222022,10.63637547,0.820530427,0.805772118,0.828153964,0.803889881,0.607045823,0.600923317,0.611679771,0.600021324,0.470932318,0.379306849,0.492667012,0.362667966,56.13780975,56.24246216,56.21852493,27.87137604,15.7983017,59.24136734,jahe
883.7644019,1018.181582,817.933567,1039.796742,9.441222786,10.74709809,8.736373991,10.97307762,0.820946621,0.807221625,0.829487008,0.804503311,0.598021279,0.591843682,0.603413505,0.59069194,0.427119883,0.339650755,0.468578157,0.325632083,58.45478058,58.57775497,58.56771088,29.75489044,16.55084229,61.73912048,jahe
1172.817694,1445.516297,1219.606776,1455.478353,12.52549,15.25196748,13.04130229,15.35837026,0.752240738,0.723161335,0.746189347,0.721865682,0.50383303,0.487329136,0.500005412,0.486465889,0.457269436,0.332202785,0.437793308,0.327600531,83.89093018,84.05099869,83.95795441,39.32723999,28.83941269,90.38794708,jahe
362.9320725,446.5485043,370.9913848,444.2631117,3.819838552,4.682817544,3.928762537,4.649277538,0.927372435,0.916915794,0.925130627,0.917327085,0.816586233,0.811925976,0.814920878,0.812021489,0.483366992,0.365534553,0.471894578,0.368781687,24.3516655,24.3735466,24.38481903,12.21141052,6.690296173,25.7371788,jahe
473.3001391,588.5645812,483.2701275,584.9649856,5.158436277,6.339268002,5.2556568,6.322034612,0.89641559,0.882562368,0.895353754,0.88300194,0.756329904,0.750757306,0.755888055,0.75106154,0.51198202,0.394250421,0.501702003,0.397955118,32.58198547,32.59583664,32.57333755,17.01457214,8.811332703,34.47903824,jahe
452.4069762,574.6311021,468.6709118,551.3598676,4.93410592,6.177542212,5.114855981,5.952811149,0.90198122,0.888447096,0.899467681,0.890413768,0.76956717,0.7640634,0.767834043,0.764460548,0.508320907,0.376643324,0.490645147,0.401887832,30.93793869,30.924366,30.9054184,15.45550537,8.78924942,32.8430748,jahe
448.1214683,545.0728283,465.3938433,560.4139537,4.862188112,5.880361978,5.057210127,6.022403407,0.903754631,0.892385523,0.901548182,0.890969271,0.770698971,0.765918671,0.769343477,0.765388038,0.492177752,0.383455872,0.472604273,0.36610318,30.75161362,30.75786972,30.73624039,14.92658997,8.726802826,32.51800537,jahe
297.6023804,329.4792606,275.7388393,355.9692403,4.017597236,4.461042965,3.741086717,4.800287989,0.887659686,0.881310217,0.891449364,0.877890525,0.822998113,0.821076177,0.823439769,0.82072738,0.689353227,0.65669029,0.712175082,0.629088348,22.91917038,22.93147659,22.93429947,11.10910034,7.205131531,24.84231949,jahe
